CONTEST,FIELD,DISTRICT_TYPE,DISTRICT,NAME
ASS01REP01,ASSREP01,ASS,01,Tenessa Audette
ASS01REP02,ASSREP02,ASS,01,Heather Hadwick
ASS02DEM01,ASSDEM01,ASS,02,Chris Rogers
ASS02REP01,ASSREP01,ASS,02,Michael Greer
ASS03DEM01,ASSDEM01,ASS,03,Aaron Draper
ASS03REP01,ASSREP01,ASS,03,Jamie Gallagher*
ASS04DEM01,ASSDEM01,ASS,04,Cecilia M. Aguiar-Curry*
ASS04REP01,ASSREP01,ASS,04,Darren T. Ellis
ASS05DEM01,ASSDEM01,ASS,05,Neva Parker
ASS05REP01,ASSREP01,ASS,05,Joe Patterson*
ASS06DEM01,ASSDEM01,ASS,06,Maggy Krell
ASS06REP01,ASSREP01,ASS,06,Nikki Ellis
ASS07DEM01,ASSDEM01,ASS,07,Porsche Middleton
ASS07REP01,ASSREP01,ASS,07,Josh Hoover*
ASS08REP01,ASSREP01,ASS,08,George Radanovich
ASS08REP02,ASSREP02,ASS,08,David J. Tangipa
ASS09AIP01,ASSAIP01,ASS,09,Tami Nobriga
ASS09REP01,ASSREP01,ASS,09,Heath Flora*
ASS10DEM01,ASSDEM01,ASS,10,Stephanie Nguyen*
ASS10REP01,ASSREP01,ASS,10,Vinaya Singh
ASS11DEM01,ASSDEM01,ASS,11,Lori D Wilson*
ASS11REP01,ASSREP01,ASS,11,Dave Ennis
ASS12DEM01,ASSDEM01,ASS,12,Damon Connolly*
ASS12REP01,ASSREP01,ASS,12,Andy Podshadley
ASS13DEM01,ASSDEM01,ASS,13,Rhodesia Ransom
ASS13REP01,ASSREP01,ASS,13,Denise Aguilar Mendez 
ASS14DEM01,ASSDEM01,ASS,14,Margot Smith
ASS14DEM02,ASSDEM02,ASS,14,Buffy Wicks*
ASS15DEM01,ASSDEM01,ASS,15,Anamarie Avila Farias
ASS15REP01,ASSREP01,ASS,15,Sonia Ledo
ASS16DEM01,ASSDEM01,ASS,16,Rebecca Bauer-Kahan*
ASS16REP01,ASSREP01,ASS,16,Joseph A. Rubay
ASS17DEM01,ASSDEM01,ASS,17,Matt Haney*
ASS17REP01,ASSREP01,ASS,17,Manuel Noris-Barrera
ASS18AIP01,ASSAIP01,ASS,18,Andre Sandford
ASS18DEM01,ASSDEM01,ASS,18,Mia Bonta*
ASS19DEM01,ASSDEM01,ASS,19,David E. Lee
ASS19DEM02,ASSDEM02,ASS,19,Catherine Stefani
ASS20DEM01,ASSDEM01,ASS,20,Liz Ortega*
ASS20REP01,ASSREP01,ASS,20,Sangeetha Shanbhogue
ASS21DEM01,ASSDEM01,ASS,21,Diane Papan*
ASS21REP01,ASSREP01,ASS,21,Mark Gilham
ASS22DEM01,ASSDEM01,ASS,22,Jessica Self
ASS22REP01,ASSREP01,ASS,22,Juan Alanis*
ASS23DEM01,ASSDEM01,ASS,23,Marc Berman*
ASS23DEM02,ASSDEM02,ASS,23,Lydia Kou
ASS24DEM01,ASSDEM01,ASS,24,Alex Lee*
ASS24REP01,ASSREP01,ASS,24,Bob Brunton
ASS25DEM01,ASSDEM01,ASS,25,Ash Kalra*
ASS25REP01,ASSREP01,ASS,25,Ted Stroll
ASS26DEM01,ASSDEM01,ASS,26,Patrick Ahrens
ASS26DEM02,ASSDEM02,ASS,26,Tara Sreekrishnan
ASS27DEM01,ASSDEM01,ASS,27,Esmeralda Soria*
ASS27REP01,ASSREP01,ASS,27,Joanna Garcia Rose
ASS28DEM01,ASSDEM01,ASS,28,Gail Pellerin*
ASS28REP01,ASSREP01,ASS,28,Liz Lawler
ASS29DEM01,ASSDEM01,ASS,29,Robert Rivas*
ASS29REP01,ASSREP01,ASS,29,J.W. Paine
ASS30DEM01,ASSDEM01,ASS,30,Dawn Addis*
ASS30REP01,ASSREP01,ASS,30,Dalila Epperson
ASS31DEM01,ASSDEM01,ASS,31,Joaquin Arambula*
ASS31REP01,ASSREP01,ASS,31,Solomon Verduzco
ASS32REP01,ASSREP01,ASS,32,Vince Fong
ASS32REP02,ASSREP02,ASS,32,Ken Weir
ASS33REP01,ASSREP01,ASS,33,Xavier Avila 
ASS33REP02,ASSREP02,ASS,33,Alexandra Macedo
ASS34DEM01,ASSDEM01,ASS,34,Ricardo Ortega
ASS34REP01,ASSREP01,ASS,34,Tom Lackey*
